author,author_id,date,rating,rating_text,text,title,url,variation,verified,vine,asin
Meredith,/gp/profile/amzn1.account.AEM5SJZOZ7B6NOLOXWKDRDMPFTKA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on February 6, 2018",5.0,5.0 out of 5 stars,"This is one of my favorite purchases for our new little guy (2 months old). Great for swaddling with such beautiful and soft fabric. Just make sure to lay it out to dry (like the tag says). Unfortunately, my husband threw it in the dryer and it changed the fabric texture a bit.",Beautiful blanket!,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B074F4CPYJ
JE,/gp/profile/amzn1.account.AHYFZHNMZXO7V4PX2ZFTCOBOLNYA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on August 14, 2018",5.0,5.0 out of 5 stars,"Great blanket, helps baby sleep through the night because she can wiggle but the swaddle stays put and keeps her arms nice and nestled inside. I wish I had this style of swaddle with my other two kids!",Best little sleep assistant.,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B074F4CPYJ
Justine Deng,/gp/profile/amzn1.account.AFXV342N756FYLQMNLEOPGDICWHQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on November 5, 2017",5.0,5.0 out of 5 stars,"This was my second swaddle purchase and I absolutely love it! Copper Pearl costumer service is incredible- I noticed a teeny hole in the fabric, contacted them/showed a picture and without any hesitation they offered a exchange or refund. They really stand by their product :)",Love it!!,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B074F4CPYJ
Beanie,/gp/profile/amzn1.account.AHMCPOUUKI6WCKHEBLZH73VIIQRQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on March 6, 2018",5.0,5.0 out of 5 stars,If I could own every print I would. These blankets are my absolute most favorite thing my baby has. Soooo soft and great size.,These blankets are my absolute most favorite thing my baby has,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B074F4CPYJ
Claudia Vega,/gp/profile/amzn1.account.AGJCUILGHR4XXM6BLBVQHC6AZYTQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on June 20, 2018",5.0,5.0 out of 5 stars,"We love this swaddle! Our baby sleeps super comfortably in it. It is soft, large but not bulky, and just the right thickness and weight. Will be purchasing more items from Copper Pearl!",Perfect Swaddle!,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B074F4CPYJ
Danielle,/gp/profile/amzn1.account.AFUSLJE373IXEN3QIOUIEXGBKDYQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on March 28, 2018",5.0,5.0 out of 5 stars,Super soft and the prettiest color. Light enough material for a nice summer blanket.,Love the color!,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B074F4CPYJ
Amazon Customer,/gp/profile/amzn1.account.AHRZ3AZDQFCDWLWH7SLWE6RMZEEA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on March 17, 2018",5.0,5.0 out of 5 stars,Love the blanket! So soft! Can't wait to use with baby!,Five Stars,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B074F4CPYJ
Leslieyasmeen ,/gp/profile/amzn1.account.AGOOG2LBIXABSXIDMFHQLK25OFRQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on February 25, 2018",5.0,5.0 out of 5 stars,I love it!! Perfect for boy or girl and soft,Five Stars,https://www.amazon.com/Premium-Swaddle-Receiving-Copper-Pearl/product-reviews/B074F4CPYJ/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B074F4CPYJ
﻿Amazon Customer,/gp/profile/amzn1.account.AEFB3PPX3YV2ENHSUM44DMCDPC6Q/ref=cm_cr_arp_d_pdp?ie=UTF8,"on April 17, 2018",5.0,5.0 out of 5 stars,My favorite burp cloths! They are beautiful and functional. They absorb great. I wish they had more girly prints.,My favorite!,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_3?ie=UTF8&pageNumber=3,N/A,1,0,B06Y5LXM9T
T & J & A Rollins/Rasmussen,/gp/profile/amzn1.account.AG7AUA2YYTSSDT4DZQE5EKHIB36A/ref=cm_cr_arp_d_pdp?ie=UTF8,"on October 3, 2017",5.0,5.0 out of 5 stars,"So soft, so absorbent, the size is incredible, and they are so versatile!",High quality and lovely patterns!,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_3?ie=UTF8&pageNumber=3,N/A,1,0,B06Y5LXM9T
Janalee McClung,/gp/profile/amzn1.account.AH2CMA67BWVW5CMEFXCU4TRNOBXA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on January 10, 2018",5.0,5.0 out of 5 stars,These burp cloths are large and thick.,Five Stars,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_3?ie=UTF8&pageNumber=3,N/A,1,0,B06Y5LXM9T
Amanda Brown,/gp/profile/amzn1.account.AH7QSEOADXNQM4QTEJN4N7HHSPJQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on September 17, 2018",5.0,5.0 out of 5 stars,These are great! They’re very cushiony. They wash well. I haven’t put them in a dryer though. When out of washer I stretch back into perfect shape and lay flat to dry.,Cutest prints!!,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_3?ie=UTF8&pageNumber=3,N/A,1,0,B06Y5LXM9T
Mgomez,/gp/profile/amzn1.account.AFT7DY5ZNBJDU227S5T6IBVKXCQA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on April 20, 2018",5.0,5.0 out of 5 stars,Adorable burp rags. Very soft unlike others we have. They are a decent size as well.,Five Stars,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_3?ie=UTF8&pageNumber=3,N/A,1,0,B06Y5LXM9T
Amazon Customer,/gp/profile/amzn1.account.AEJWGB5XA736ALRX3DKLO6HK6JWA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on August 14, 2017",5.0,5.0 out of 5 stars,Loved these adorable burp cloths. I knew I had to have them when I saw the beautifully unique prints. They were shipped very quickly and are very high quality. I will definitely be ordering more!,Great Size and Beautiful Patterns!,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_3?ie=UTF8&pageNumber=3,N/A,1,0,B06Y5LXM9T
Jacquelyn Montgomery,/gp/profile/amzn1.account.AFOJ7ZADL7TKX5Y2RMPYRBYCMWPA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on January 24, 2018",5.0,5.0 out of 5 stars,Lovely burp rags that are bigger than the normal size.,Five Stars,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_3?ie=UTF8&pageNumber=3,N/A,1,0,B06Y5LXM9T
Amazon Customer,/gp/profile/amzn1.account.AHDGDBOEXE3KVGTAQ22RCYO7EPLA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on October 19, 2017",5.0,5.0 out of 5 stars,Love these! They are soft and thick enough to catch spit up.,Five Stars,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_3?ie=UTF8&pageNumber=3,N/A,1,0,B06Y5LXM9T
MG,/gp/profile/amzn1.account.AEVGK5BRFGY3EQLGQHQFHVA3PRIA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on July 4, 2018",5.0,5.0 out of 5 stars,These burp cloths are much larger than what we expected to receive which is a plus. We haven't been able to use them yet as our little one has not arrived yet. We can't wait to put them to great use. Great product and I would recommend it to mom's for their little ones.,Great product,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_3?ie=UTF8&pageNumber=3,N/A,1,0,B06Y5LXM9T
Lindsey L.,/gp/profile/amzn1.account.AFUR6QMOY5PAAZTONHPZPBFP5EFQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on January 22, 2018",5.0,5.0 out of 5 stars,Such pretty prints and nice size!,Five Stars,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_3?ie=UTF8&pageNumber=3,N/A,1,0,B06Y5LXM9T
Beanie,/gp/profile/amzn1.account.AHMCPOUUKI6WCKHEBLZH73VIIQRQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on October 3, 2017",5.0,5.0 out of 5 stars,These are the BEST burp cloths!! They are super thick so you can get many uses and they don’t leak through! They are also such cute patterns and softest material. I could buy them all,A MUST!,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B06Y5LXM9T
Amazon Customer,/gp/profile/amzn1.account.AGFS272J5PEVYUR5LM5G6CCCFUYA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on August 7, 2017",5.0,5.0 out of 5 stars,"Love these burp cloths so much I had to order another set! They are my favorite because they are so soft, super absorbent, and have the sweetest patterns 😍. You cannot beat the quality either!",My favorite!,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B06Y5LXM9T
Kindle Customer,/gp/profile/amzn1.account.AFGQYG4IHGVBKRQMALEUOCBKFUHA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on September 28, 2018",5.0,5.0 out of 5 stars,"These burp clothes are adorable. On top of that they are plush and absorbent.  They're also a great size!  Copper Pearl makes some great products and these are no exception.  Very happy with the cost, and quality.",Large and absorbent,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B06Y5LXM9T
YAYteaching,/gp/profile/amzn1.account.AE52KZ256DF5SQFHIJBIU2NGOAMA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on June 5, 2018",5.0,5.0 out of 5 stars,Beautiful patterns and thicker padding than other burp cloths. They are nice and large so if you want to use them as a makeshift blanket for baby while feeding it does the trick. I recommend washing on gentle cycle and air drying.,Wonderful products.,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B06Y5LXM9T
Amazon Customer,/gp/profile/amzn1.account.AFPRSNKU5P56TFVIXH4D4QDY7MMQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on September 30, 2018",5.0,5.0 out of 5 stars,"These are the best! I love Copper Pearl! I wouldn’t buy any other brand of burp cloths or swaddle blankets now that I’ve used ones from Copper Pearl. These burp clothes are cute, thick and have yet to leak through. I’ll probably just donate my other brand burp cloths and get more of these! They’re so worth it!",Cute and absorbent,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B06Y5LXM9T
Krista,/gp/profile/amzn1.account.AEOQNHBLN7IKWQ2OOWQD4WTHPJEQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on August 13, 2018",5.0,5.0 out of 5 stars,"These were delivered quickly, and I love that they are all cotton, and the pattern is darling.",Great feel and quality.,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B06Y5LXM9T
J,/gp/profile/amzn1.account.AGXIYTAWD4LTXW7BCRXFY3ZVIN5A/ref=cm_cr_arp_d_pdp?ie=UTF8,"on June 3, 2018",5.0,5.0 out of 5 stars,LOVE these burp cloths! I've tried every brand for my little one and these are the only ones that are soft and get the job done. JAR are also good but these are superior.,"Moms that like to research burp cloths, search no more, these are the best!",https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B06Y5LXM9T
Amazon Customer,/gp/profile/amzn1.account.AGIZE7OVXSZURMMTFVLTXNKYUAGA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on December 11, 2017",5.0,5.0 out of 5 stars,"Great quality and beautiful prints. I technically haven't used them yet as our first baby is coming in February, but they are thick and made well so I went ahead and ordered more. I highly recommend!",Great quality and beautiful prints,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B06Y5LXM9T
Whitney Stamps,/gp/profile/amzn1.account.AHSWLOILX266CUFCNZGZJYLYE5FA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on July 25, 2018",5.0,5.0 out of 5 stars,Love love these. Perfect size and gorgeous patterns!,Excellent buy!,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B06Y5LXM9T
Williamson,/gp/profile/amzn1.account.AFCXF3L4V5HRSOZOFEVWWH2KDJNQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on May 3, 2018",5.0,5.0 out of 5 stars,I love these.  They are large and thick enough for the messiest baby.  They absorb well and look great too.,Beautiful and Useful,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1,N/A,1,0,B06Y5LXM9T
Shelby,/gp/profile/amzn1.account.AEYL2GO2WYZWDM4ZXJCVQDNGHDBA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on October 18, 2017",5.0,5.0 out of 5 stars,"The size is perfect, and the material is omg amazing! Very absorbent, and great with a reflux baby.",AMAZING!,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_5?ie=UTF8&pageNumber=5,N/A,1,0,B06Y5LXM9T
Teal,/gp/profile/amzn1.account.AHWK4NQINCUH4AZEVGNTPMMY6NKA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on October 26, 2017",5.0,5.0 out of 5 stars,Love!!!!!,Five Stars,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_5?ie=UTF8&pageNumber=5,N/A,1,0,B06Y5LXM9T
Molly Katherine,/gp/profile/amzn1.account.AG3I3IQAJOYLZSKLQUYHUCL4YSAA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on March 19, 2018",5.0,5.0 out of 5 stars,Super soft and thick!  Can’t wait to use them!,Five Stars,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_5?ie=UTF8&pageNumber=5,N/A,1,0,B06Y5LXM9T
Megan ,/gp/profile/amzn1.account.AESZXQ33KEYQMSAPNIV6HYMSDELA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on February 17, 2018",3.0,3.0 out of 5 stars,Doesnt match the seaddle as well as i wanted. Colors are different.,Three Stars,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_5?ie=UTF8&pageNumber=5,N/A,1,0,B06Y5LXM9T
Gwen,/gp/profile/amzn1.account.AHRMN3VI4XWNCUI64VYGCGX2ECIA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on December 13, 2017",5.0,5.0 out of 5 stars,"So cute! It was a gift, so I won’t get to use them myself, but they were thick, good quality material! I was more than impressed!",Great quality material!,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_5?ie=UTF8&pageNumber=5,N/A,1,0,B06Y5LXM9T
Kimberly Russ,/gp/profile/amzn1.account.AFSC47BQR35C2SA2K3HGP56UVLTQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on September 11, 2018",5.0,5.0 out of 5 stars,"Copper Pearl is my favorite brand for burp clothes and bibs. Burp clothes are big, soft and obsorbant.",Five Stars,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_5?ie=UTF8&pageNumber=5,N/A,1,0,B06Y5LXM9T
Nancy Pedersen,/gp/profile/amzn1.account.AEA5NALAWLF4ZNUENTF7M5IC6XXA/ref=cm_cr_arp_d_pdp?ie=UTF8,"on March 23, 2018",5.0,5.0 out of 5 stars,"Beautiful designs, plush absorbing cloth.",Five Stars,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_5?ie=UTF8&pageNumber=5,N/A,1,0,B06Y5LXM9T
Catherine Wallant,/gp/profile/amzn1.account.AG4WTNJUGUG7XCESKGMIAWNOF4XQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"on September 29, 2018",5.0,5.0 out of 5 stars,They are very soft.,adorable,https://www.amazon.com/Premium-Absorbent-Triple-Copper-Pearl/product-reviews/B06Y5LXM9T/ref=cm_cr_dp_d_show_all_btm_5?ie=UTF8&pageNumber=5,N/A,1,0,B06Y5LXM9T
